"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
-127	0.585194	0.413435	1	0.0701336	0.025894	
-117	0.340158	0.329362	1	0.0396896	0.0280571	
-107	0.235057	0.546615	0.343131	0.0376063	0.0591316	
-97	0.25751	0.599897	0.297968	0.020428	0.0460438	
-87	0.164966	0.773468	0.452181	0.0121838	0.014906	
-77	0.0251471	0.681288	0.156802	0.013617	0.0163015	
-67	0.0199835	0.212649	0.058474	0.010822	0.0052926	
-57	0.0633027	0.0987268	0.0329235	0.00706481	0.0126995	
-47	0.0286857	0.184056	0.0627043	0.0126328	0.0191102	
-37	0.016232	0.00945842	0.015439	0.00149756	0.00812528	
-27	0.0054096	0.000720784	1.06991e-013	4.98817e-005	0.00106313	
-17	3.10473e-006	0.000583332	6.15951e-014	0.000284778	0.000330803	
-7	8.8202e-015	2.78572e-005	5.84366e-014	1.62844e-006	2.39607e-006	
3	5.99788e-006	2.10933e-005	0.0101849	0.00052996	0.000953185	
13	0.00574249	0.00119773	0.0102332	0.00213243	0.00232506	
23	0.0238876	0.00533835	0.0135745	0.00550036	0.00328345	
33	0.022767	0.00595753	0.0325076	0.00576025	0.00817549	
43	0.0366409	0.0339604	0.0151618	0.0107889	0.0089964	
53	0.0986334	0.049671	0.127242	0.00298671	0.0114286	
63	0.093412	0.0957286	0.0345271	0.00841798	0.00790706	
73	0.0728656	0.177526	0.139717	0.00827212	0.0164682	
83	0.0980246	0.135004	0.213158	0.00898124	0.0193731	
93	0.0606688	0.0860785	0.641128	0.0208681	0.0196173	
103	0.1638	0.0880058	0.45741	0.0369823	0.0271468	
113	0.162931	0.264851	0.38445	0.0399339	0.0421039	
123	0.0412645	0.36303	0.237199	0.0329747	0.0375229	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
1	0.232985	0.136135	0.47385	0.06251	0.020181	
2	0.368477	0.307833	0.894238	0.0956817	0.0249726	
3	1	0.43722	1	0.124638	0.125728	
4	1	0.396488	1	0.208859	0.11371	
5	1	0.355428	0.283717	0.648823	0.179159	
6	1	1	0.797587	0.0568656	0.695067	
7	1	1	1	0.615576	0.250751	
8	1	1	1	0.330189	0.54494	
9	1	1	0.588414	0.256927	0.755126	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0	8.8202e-015	7.08527e-014	1.45271e-014	1.52789e-015	2.09863e-014	
10	1	1	1	0.0529703	0.157933	
20	1	0.182516	1	0.0952625	1	
30	1	0.636799	0.613444	0.153374	0.0506451	
40	1	0.813338	1	0.205904	0.13749	
50	1	1	0.138943	0.23978	0.736528	
60	1	0.792263	1	0.331086	1	
70	1	0.221807	0.380697	0.362013	0.531342	
80	0.761701	0.134306	1	0.433902	0.881987	
90	0.0826354	0.0651411	1	0.47968	0.0186624	
100	1	0.814725	1	0.553544	0.15286	
110	1	0.113329	1	0.604649	0.250442	
120	1	0.445358	0.793443	0.604293	0.526005	
130	1	1	0.733507	0.617959	0.419407	
140	0.461847	1	0.729528	0.599504	0.659009	
150	0.493892	0.152674	1	0.593327	0.40507	
160	0.451641	0.503305	1	0.560236	0.563037	
170	1	0.102361	1	0.530402	0.245402	
180	0.107072	0.0728868	1	0.487841	0.0237903	
190	1	0.141036	1	0.550299	0.33879	
200	1	0.765216	1	0.553281	0.20445	
210	1	0.38247	1	0.562347	0.855471	
220	0.934633	0.306674	1	0.582704	1	
230	0.93134	0.264937	1	0.585273	0.749474	
240	1	0.470058	1	0.57029	0.390476	
250	1	1	1	0.566299	1	
260	1	0.129759	1	0.531408	0.115007	
270	0.221991	0.0997942	0.941099	0.49812	0.0335582	
280	1	0.0662601	1	0.45677	0.168318	
290	1	0.223274	0.379861	0.3425	0.536367	
300	0.528939	0.538423	0.366618	0.311178	0.138214	
310	0.25821	0.612495	1	0.282628	1	
320	1	0.965902	1	0.218412	1	
330	0.4386	0.294927	1	0.156792	0.871393	
340	0.164189	0.600556	0.753158	0.107593	0.311123	
350	0.408829	0.252063	1	0.0467459	0.601666	
360	1.18215e-013	6.55312e-014	1.07938e-013	1.20937e-013	1.43451e-013	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0.25	1	1	1	0.192729	0.558665	
0.35	1	0.167754	1	0.339384	0.983752	
0.45	1	1	1	0.259917	0.432282	
0.55	1	1	1	0.188217	0.168085	
0.65	1	1	1	0.0704797	0.411137	
0.75	1	0.686738	0.640477	0.10257	0.191653	
0.85	1	1	1	0.0571918	0.369472	
0.95	1	0.145092	1	0.0248083	0.229003	
1.05	0.386407	0.0809162	1	0.0161604	0.0586894	
1.15	0.50098	1	1	0.0450809	0.342575	
1.25	0.480576	0.611368	1	0.0647664	0.11907	
1.35	1	1	1	0.0894663	0.0639915	
1.45	1	0.672798	1	0.100358	0.278152	
1.55	1	0.536309	1	0.109289	0.365416	
1.65	1	1	1	0.145555	0.43392	
1.75	1	1	1	0.192312	0.248385	
1.85	1	1	1	0.207737	0.477685	
1.95	1	1	1	0.239626	0.477354	

