"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
-127	44.664	46.1538	3	66.5217	37.7579	
-117	42.9012	51.0204	5.4	70.7167	43.8279	
-107	44.4149	57.8947	8.4	73.4586	51.2906	
-97	45.7143	55.814	13	74.9872	56.6705	
-87	52.4272	65.0273	19	78.858	63.3376	
-77	59.699	73.0924	32.8	81.0273	69.6956	
-67	67.3684	79.1246	42.2	84.9347	75.2563	
-57	80.8298	85.3868	59.2	86.4561	81.6066	
-47	88.6059	92.9504	76	90.3424	87.9164	
-37	94.852	96.8059	91.2	94.9507	94.3968	
-27	98.8579	99.0453	95.4	98.2611	98.7193	
-17	100	100	97.2	99.8523	99.9307	
-7	100	100	96	100	100	
3	100	100	97	100	99.9307	
13	100	100	96.6	99.8816	99.5494	
23	98.9873	99.5261	96.6	99.3456	98.9402	
33	98.6058	99.7613	95	98.2095	97.8746	
43	96.5429	99.0385	93.4	95.8668	96.6164	
53	96.0682	98.0535	90.8	93.5998	94.6533	
63	94.4	97.2569	86	91.0081	91.2935	
73	93.8974	95.1282	82	88.5403	87.1518	
83	91.2482	93.2796	73	85.6759	82.6944	
93	87.8788	89.2046	62	81.1301	79.6848	
103	84.2607	85.6269	55.8	79.3762	74.9745	
113	79.346	83.5616	43.6	77.0933	71.0151	
123	72.9927	76.5873	37	72.7441	67.3933	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
1	46.2389	92.4638	79.4	55.1085	84.4424	
2	34.7003	88.9571	69	55.5202	77.9548	
3	24.3119	83.3333	60	56.6119	68.3718	
4	14.1304	80.8411	50.6	55.3333	60.175	
5	10.8844	79.2453	43.6	55.1532	53.3282	
6	9.32203	84.0336	42.8899	53.1101	49.6718	
7	10.0917	82.9268	40.5914	56.5489	46.3453	
8	11.1111	80.597	32.4841	55.0369	43.0233	
9	9.21053	81.8182	28.4133	50.9235	41.2675	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	
10	29.4511	68.0851	64.2	67.0264	44.6088	
20	31.9095	61.0451	59.8	65.4208	36.8078	
30	31.6156	54.9223	55.4	65.8085	33.1231	
40	26.73	53.7815	52	65.3008	32.1887	
50	27.7075	54.8747	51.4	65.1878	30.2761	
60	28.1567	53.2353	47.8	67.0988	29.9049	
70	33.4898	55.8282	49.6	66.744	33.577	
80	29.0036	62.4633	50.4	66.7142	38.6338	
90	43.7282	77.7778	59	90.0253	79.638	
100	28.4483	64.0264	50	65.0738	36.8442	
110	30.4042	61.6822	51.8	64.4298	36.3728	
120	29.1057	57.0201	55.2	65.219	31.3987	
130	30.6947	55.2326	55.2	66.1922	31.7245	
140	27.2588	57.7957	54.4	65.7417	30.8824	
150	27.6119	57.4124	51.6	68.1209	31.7195	
160	32.6501	58.6735	55.6	66.5515	36.7708	
170	30.5898	75	47.8	67.5746	45.0879	
180	41.9146	92.1615	62.4	91.0879	88.858	
190	27.2374	69.3925	55.8	66.438	44.3666	
200	27.1768	60.8173	50.2	65.1803	37.3225	
210	27.4966	58.6387	49.8	66.5889	33.3844	
220	27.6596	53.8461	50.4	65.9005	32.28	
230	24.8521	57.1823	47	65.4017	30.4459	
240	29.5935	54.955	44.2	67.0483	29.7964	
250	30.2207	53.0864	50.2	66.4997	33.3627	
260	31.0463	61.4706	49.2	67.1277	38.6342	
270	46.0854	79.3846	60.4	89.7034	80.758	
280	30.2281	62.1359	51.4	65.5827	36.7869	
290	30.9645	60.2524	53.8	64.5956	36.3978	
300	34.2373	58.2133	60	65.1087	31.1701	
310	30.8294	57.5071	58.2	66.1175	31.148	
320	32.7074	57.1429	61.4	65.5232	30.7766	
330	32.6656	55.1451	59.2	67.7044	31.6062	
340	34.1394	59.3909	64.4	66.1514	36.2079	
350	33.2026	72.4138	61.4	67.4654	44.7065	
360	100	100	100	100	100	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0.25	7.31707	80.9524	4.69974	60.4106	63.2609	
0.35	5.52764	69.8413	11.8026	58.8926	57.9812	
0.45	9.55882	70.1031	20.8	63.3416	56.7371	
0.55	12.9944	63.871	32.8	67.629	57.33	
0.65	14.8936	69.43	39.6	70.8869	58.1324	
0.75	19.1176	72.4014	42.4	69.7845	59.4773	
0.85	32.3993	68.5535	57.4	69.3791	60.4774	
0.95	37.9791	86.0335	59.6	67.8247	72.7254	
1.05	29.3675	78.6571	61.4	58.2012	68.0416	
1.15	28.3784	59.8291	54.8	47.4459	49.625	
1.25	24.3836	53.1599	56.2	42.3709	41.9315	
1.35	16.1747	52.1295	44.4	38.1111	37.1133	
1.45	15.2174	47.0679	43.6	35.2012	32.6307	
1.55	12.5471	39.3768	38.8	34.5694	29.1031	
1.65	12.1693	30.4408	34.2	33.8986	25.0712	
1.75	10.6337	27.9221	32.8	32.2922	22.3661	
1.85	10	32.7206	27.8	32.0521	22.1959	
1.95	8.56833	34.5411	22.2	33.1379	22.7232	

