"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
-127	333.06	349.214	345.749	63.8943	0.1065	
-117	307.525	335.694	277.08	51.8797	0.0984007	
-107	287.643	342.14	248.755	47.2601	0.0894767	
-97	282.021	336.991	241.471	44.7928	0.0818045	
-87	272.471	318.169	236.175	37.2907	0.068088	
-77	264.218	305.12	232.828	33.6764	0.0595886	
-67	252.899	268.17	212.807	31.401	0.0525745	
-57	229.398	227.047	191.706	27.4281	0.0444961	
-47	180.845	184.083	163.994	23.0258	0.0325801	
-37	111.196	106.885	111.302	12.6203	0.0183688	
-27	35.3831	35.7878	61.9851	3.77936	0.00595033	
-17	1.95082	5.03707	46.3721	0.264022	0.00101862	
-7	0.220823	0	30.9107	0.0375404	0.000545641	
3	2.72512	0	25.7801	0.117973	0.000638549	
13	9.10982	6.97767	39.4797	0.942277	0.00162463	
23	17.1755	11.7494	54.5815	1.96686	0.00392304	
33	31.9339	27.2402	75.6286	3.87182	0.00652318	
43	43.1604	40.3785	87.2564	7.25445	0.0108291	
53	62.6189	57.4944	94.1515	11.7507	0.0159153	
63	76.8589	80.8166	106.329	15.3099	0.0219371	
73	99.082	109.018	119.299	20.5148	0.0300154	
83	125.271	146.739	144.563	24.4586	0.0375241	
93	141.471	186.153	172.346	30.4552	0.045832	
103	172.876	220.735	207.976	37.352	0.0537868	
113	200.087	263.107	218.899	42.159	0.0624437	
123	235.937	290.092	238.486	50.651	0.0710754	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
1	383.646	192.47	99.4509	73.3577	0.0727457	
2	398.018	222.88	129.644	84.9163	0.101324	
3	400.519	237.083	162.032	89.6521	0.127922	
4	431.578	255.256	175.923	86.1627	0.143026	
5	384.122	260.109	189.06	90.6445	0.14907	
6	724.755	263.836	204.44	92.7947	0.151752	
7	562.941	267.385	209.57	93.0234	0.162867	
8	568.211	259.94	207.607	92.5668	0.166549	
9	625.871	266.412	230.574	91.9101	0.167778	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0	0	0	0	0	0	
10	439.876	273.85	208.387	51.405	0.119019	
20	440.711	306.794	208.557	49.7259	0.144285	
30	437.621	316.455	211.929	49.8422	0.154825	
40	432.203	316.338	203.961	51.0534	0.155533	
50	429.664	315.107	215.744	52.9223	0.158195	
60	438.026	301.75	215.534	50.5155	0.157223	
70	411.531	295.912	207.942	51.7831	0.14603	
80	404.74	272.445	215.191	51.6763	0.117155	
90	255.98	202.859	124.792	15.7832	0.0141465	
100	434.649	278.313	212.553	56.3941	0.119241	
110	420.932	300.292	205.105	54.0137	0.14357	
120	446.361	312.125	218.832	50.1759	0.152447	
130	446.937	320.106	211.813	52.2819	0.154692	
140	436.553	319.696	208.067	52.8489	0.157802	
150	440.285	314.021	220.244	51.0996	0.159027	
160	452.381	299.859	213.625	51.1158	0.147327	
170	423.248	274.392	212.956	52.2914	0.117679	
180	288.481	169.759	131.492	13.3677	0.0149261	
190	429.567	279.222	209.761	51.0981	0.119828	
200	433.913	307.439	206.762	49.7194	0.146232	
210	425.38	321.1	204.959	49.5137	0.154256	
220	461.266	317.182	209.368	50.9942	0.1544	
230	421.54	319.103	208.278	53.2459	0.157787	
240	437.044	306.848	212.111	50.7728	0.158413	
250	416.321	287.289	206.766	51.9146	0.146076	
260	414.454	271.559	210.085	52.3199	0.117028	
270	274.426	197.249	124.601	15.2898	0.0149405	
280	431.929	275.489	205.103	55.7527	0.117873	
290	435.046	303.505	213.017	53.4662	0.14325	
300	435.931	318.288	212.962	49.9388	0.154203	
310	443.536	327.966	213.145	52.5519	0.151743	
320	425.711	323.365	209.659	52.2374	0.159452	
330	409.641	310.731	216.948	51.4495	0.157052	
340	403.619	310.001	212.207	51.0728	0.146698	
350	425.869	266.68	215.711	52.7225	0.117477	
360	0	0	0	0	0	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0.25	660.988	317.157	336.221	100.821	0.112057	
0.35	566.392	308.759	246.703	105.418	0.125879	
0.45	729.437	327.509	243.532	89.6233	0.134508	
0.55	554.064	320.014	224.387	83.7815	0.122087	
0.65	504.705	316.746	222.831	72.9613	0.117798	
0.75	497.84	304.558	223.164	76.4913	0.114142	
0.85	494.701	321.023	198.318	75.9204	0.121812	
0.95	411.804	258.652	207.748	69.7594	0.0883604	
1.05	418.35	243.602	214.69	65.0158	0.085827	
1.15	456.765	300.574	208.165	76.472	0.114676	
1.25	496.863	309.524	205.245	63.0179	0.110678	
1.35	452.732	288.83	218.421	72.5195	0.101916	
1.45	452.923	271.35	191.959	78.0143	0.0962609	
1.55	461.809	279.574	211.734	66.8551	0.102589	
1.65	456.293	309.714	215.811	66.8273	0.108885	
1.75	463.518	303.494	188.744	77.9697	0.105998	
1.85	468.705	290.033	213.008	76.7298	0.0997752	
1.95	436.243	266.008	208.285	67.4619	0.0837804	

