"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
-127	57.3604	56.25	6.75676	70.3772	49.0676	
-117	59.4017	58.1395	12.3853	76.8546	58.1081	
-107	62.0818	62.8571	18.9189	80.6057	67.6393	
-97	67.7524	60	26.5306	82.8604	74.2683	
-87	74.5856	72.1212	37.6984	86.8052	80.793	
-77	81.6934	84.6512	57.5439	89.8484	86.5481	
-67	87.5	87.6866	67.4121	93.6441	91.2058	
-57	95.6007	94.0063	83.6158	94.6964	94.6864	
-47	98.5097	97.8022	94.0594	97.4564	97.2898	
-37	99.3261	99.7468	99.5633	99.2917	99.4099	
-27	100	100	99.7908	99.94	99.9825	
-17	100	100	99.7947	100	100	
-7	100	100	99.5851	100	100	
3	100	100	99.7942	100	100	
13	100	100	99.7934	100	99.9826	
23	100	100	100	99.9701	99.9298	
33	99.8716	100	100	99.8786	99.7868	
43	99.6037	100	99.3617	99.5062	99.6564	
53	100	100	98.6957	98.9517	99.3333	
63	99.1597	99.7442	98.1735	97.3702	98.4291	
73	98.688	98.9333	97.3872	96.6457	96.845	
83	97.8462	97.4719	94.8052	95.5481	95.3261	
93	95.8678	96.319	88.8252	93.8282	93.2802	
103	94.1385	93.9597	84.8024	91.4234	90.5781	
113	90.5697	91.7293	70.7792	89.4763	87.1455	
123	85.4701	84.2795	63.7931	86.3262	84.2367	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
1	58.5434	97.8528	96.1259	76.7544	94.5815	
2	40.293	97.3154	89.6104	70.5803	90.3783	
3	26.6332	93.8865	85.2273	64.6594	82.099	
4	15.2941	88.2653	76.4351	61.1794	74.7284	
5	11.3475	86.8966	69.4268	59.2814	65.812	
6	9.56522	86.9565	63.3898	57.2165	61.4177	
7	10.5769	86.076	59.4488	58.3691	55.9821	
8	11.3636	81.8182	44.3478	56.8528	52.6198	
9	9.58904	83.3333	38.1188	52.5886	48.8656	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	
10	47.2103	88.8889	88.9197	90.1107	73.7351	
20	54.9784	83.1715	83.2869	88.7384	58.6252	
30	48.8172	73.3564	81.2317	88.8672	53.2331	
40	44.3694	73.2824	77.8443	88.7791	50.4023	
50	42.7332	74.6212	78.8344	88.2306	48.5371	
60	43.9909	70.428	72.4242	88.5179	50.2907	
70	50.4717	75.5187	74.4745	86.3578	53.007	
80	42.228	82.5581	78.0186	85.3625	66.5577	
90	60.4819	92.3077	80.3815	96.4817	95.3671	
100	41.5617	79.8354	72.8863	82.3906	65.191	
110	45.1697	79.2	75.731	83.6667	54.0299	
120	43.4466	75.9542	76.0331	84.1663	49.1822	
130	45.3461	73.93	73.9946	85.2429	48.632	
140	41.9811	77.0609	73.5135	86.0924	48.285	
150	43.3255	78.3088	71.2707	87.4724	52.8965	
160	49.4457	83.0325	75.1351	88.3285	58.905	
170	49.5556	91.1854	69.6793	90.5983	73.6871	
180	66.5298	98.9796	79.1878	99.06	98.0655	
190	46.6667	91.9505	76.8595	90.0077	73.5544	
200	46.5011	83.2237	74.2604	88.988	59.7015	
210	44.1758	76.9759	75	89.4201	53.3987	
220	43.8202	73.5409	71.5909	89.1732	50.1272	
230	38.9791	79.3103	71.2121	88.9875	48.7477	
240	44.4988	72.619	68.6335	88.5936	50.1081	
250	45.7584	73.5043	72.7536	85.745	52.5677	
260	45.0249	82.2835	73.4328	85.3472	66.6776	
270	60.7981	94.1606	81.6216	96.755	96.03	
280	42.5134	79.3388	80.0623	82.9173	65.3185	
290	46.3291	74.902	78.8856	83.7864	54.3178	
300	48.4412	74.8148	82.4176	83.8936	49.4073	
310	47.1292	78.3784	81.7416	85.1083	47.3825	
320	49.8807	76.5957	86.236	86.2302	48.2473	
330	48.5126	76	83.3803	87.5664	52.4543	
340	54.6697	80.9689	87.9781	87.8141	58.2146	
350	54.3897	90.7407	88.2184	91.2534	73.2505	
360	100	100	100	100	100	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0.25	7.69231	80.9524	8.61244	60.9467	65.8371	
0.35	6.21469	73.3333	23.2068	62.234	61.9048	
0.45	11.3043	73.913	40.1544	67.0185	62.3699	
0.55	16.6667	72.7941	59.2058	74.1131	66.2784	
0.65	18.8552	77.4566	70.2128	80.8793	69.9355	
0.75	26.3006	88.5965	70.903	82.8074	75.4286	
0.85	48.9418	86.166	85.1632	85.3011	77.5951	
0.95	53.5627	97.4684	84.9003	87.7362	89.2674	
1.05	45.4545	95.9064	87.4644	84.9222	89.9265	
1.15	45.7516	84.8485	79.4203	81.1172	78.0344	
1.25	40.3628	84.3658	82.6471	80.762	75.2878	
1.35	28.2474	88.9535	71.3826	77.4849	73.1891	
1.45	26.494	82.8804	71.4754	75.8788	72.1355	
1.55	22.2222	78.0899	64.4518	76.6442	68.8093	
1.65	23.1855	65	58.1633	76.2593	64.3261	
1.75	21.5217	64.3713	57.9505	74.54	61.8028	
1.85	17.7384	76.0684	48.0969	74.9725	65.0742	
1.95	16.7373	79.4444	39.7849	76.9316	69.2081	

