"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
-127	77.8656	82.0513	44.4	94.5217	76.9507	
-117	72.2222	87.7551	43.6	92.0136	75.4247	
-107	71.5426	92.1053	44.4	91.1333	75.8297	
-97	67.4725	93.0233	49	90.4982	76.3051	
-87	70.2913	90.1639	50.4	90.8447	78.3949	
-77	73.0769	86.3454	57	90.1823	80.5282	
-67	76.9925	90.2357	62.6	90.6995	82.5126	
-57	84.5494	90.8309	70.8	91.2982	86.1862	
-47	89.9464	95.0392	80.8	92.7003	90.3656	
-37	95.4955	97.0516	91.6	95.6281	94.9571	
-27	98.8579	99.0453	95.6	98.3201	98.7366	
-17	100	100	97.4	99.8523	99.9307	
-7	100	100	96.4	100	100	
3	100	100	97.2	100	99.9307	
13	100	100	96.8	99.8816	99.5667	
23	98.9873	99.5261	96.6	99.3754	99.0097	
33	98.7326	99.7613	95	98.3289	98.0836	
43	96.927	99.0385	94	96.3426	96.9495	
53	96.0682	98.0535	92	94.5913	95.2885	
63	95.2	97.5062	87.6	93.4661	92.7505	
73	95.1456	96.1538	84.2	91.6133	89.991	
83	93.2568	95.6989	77	89.6679	86.749	
93	91.6667	92.6136	69.8	86.4667	85.4252	
103	89.5072	91.1315	65.8	86.8226	82.7734	
113	87.6076	91.0959	61.6	86.1605	81.4903	
123	85.4015	90.873	58	84.2665	80.0047	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
1	78.9823	94.4928	82.6	71.7985	89.28	
2	86.1199	91.411	77	78.6624	86.2539	
3	91.2844	88.7597	70.4	87.554	83.2797	
4	92.3913	91.5888	66.2	90.4444	80.5249	
5	95.9184	91.195	62.8	93.0362	81.0312	
6	97.4576	96.6387	67.6606	92.823	80.8753	
7	95.4128	96.3415	68.2796	96.8815	82.786	
8	97.7778	98.5075	73.2484	96.8059	81.7625	
9	96.0526	98.1818	74.5387	96.8338	84.451	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	
10	62.3829	76.5957	72.2	74.3823	60.4987	
20	58.0402	73.3967	71.8	73.7233	62.785	
30	64.7632	74.8705	68.2	74.0527	62.2227	
40	60.2442	73.3894	66.8	73.5542	63.8636	
50	64.8383	73.5376	65.2	73.8835	62.3772	
60	64.0058	75.5882	66	75.8025	59.4641	
70	66.3537	73.9264	66.6	77.2878	63.3444	
80	68.6833	75.6598	64.6	78.154	58.0455	
90	72.2997	84.2593	73.4	93.3081	83.5068	
100	68.4483	80.198	68.6	78.9821	56.5173	
110	67.3111	77.8816	68.4	77.0077	67.3198	
120	66.9919	75.0716	72.6	77.4882	63.8417	
130	67.6898	74.7093	74.6	77.6512	65.2338	
140	64.9311	75	74	76.3618	63.9585	
150	63.7313	73.3154	72.4	77.877	59.9653	
160	66.0322	70.6633	74	75.3455	62.4239	
170	61.7284	82.25	68.6	74.5871	61.1883	
180	63.0013	93.1116	78.8	91.9523	90.6109	
190	58.3658	75.4673	72.6	73.8136	60.318	
200	58.4433	73.0769	67.6	73.2462	62.5152	
210	62.2435	76.178	66.4	74.4675	62.5192	
220	63.1206	73.2194	70.4	73.9017	64.3961	
230	63.7574	72.0994	66	73.4954	62.4562	
240	66.5041	75.6757	64.4	75.6807	59.4641	
250	66.0441	72.2222	69	77.5551	63.4662	
260	68.9537	74.7059	67	78.6525	57.9418	
270	75.8007	84.3077	74	92.7119	84.0965	
280	71.1027	78.3172	64.2	79.0941	56.3193	
290	66.8359	80.4416	68.2	77.0956	67.009	
300	70.678	77.8098	72.8	77.6087	63.0881	
310	65.4147	73.3711	71.2	77.6862	65.7373	
320	65.5712	74.6032	71.2	75.9863	63.7894	
330	67.3344	72.5594	71	77.3178	60.2547	
340	62.4467	73.3503	73.2	75.3312	62.1973	
350	61.0458	79.803	69.6	73.9319	61.0323	
360	100	100	100	100	100	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0.25	95.1219	100	54.5692	99.1202	96.087	
0.35	88.9447	95.2381	50.8584	94.6309	93.662	
0.45	84.5588	94.8454	51.8	94.5137	90.9687	
0.55	77.9661	87.7419	55.4	91.2511	86.4987	
0.65	78.9894	89.6373	56.4	87.6453	83.1228	
0.75	72.6891	81.7204	59.8	84.2733	78.8525	
0.85	66.1996	79.5597	67.4	81.3344	77.9397	
0.95	70.9059	88.2682	70.2	77.3052	81.4691	
1.05	64.6084	82.0144	70.2	68.5347	75.6636	
1.15	62.027	70.5128	69	58.4906	63.5938	
1.25	60.411	63.0112	68	52.4639	55.695	
1.35	57.2609	58.6031	62.2	49.1852	50.7087	
1.45	57.4371	56.7901	61	46.3914	45.2352	
1.55	56.4617	50.4249	60.2	45.1037	42.2953	
1.65	52.4868	46.832	58.8	44.4518	38.9751	
1.75	49.4092	43.3766	56.6	43.3219	36.1894	
1.85	56.375	43.0147	57.8	42.7518	34.1085	
1.95	51.1931	43.4783	55.8	43.0745	32.8332	

