"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
-127	0.573604	0.5625	0.0675676	0.703772	0.490676	
-117	0.594017	0.581395	0.123853	0.768546	0.581081	
-107	0.620818	0.628571	0.189189	0.806057	0.676393	
-97	0.677524	0.6	0.265306	0.828604	0.742683	
-87	0.745856	0.721212	0.376984	0.868052	0.80793	
-77	0.816934	0.846512	0.575439	0.898484	0.865481	
-67	0.875	0.876866	0.674121	0.936441	0.912058	
-57	0.956007	0.940063	0.836158	0.946964	0.946864	
-47	0.985097	0.978022	0.940594	0.974564	0.972898	
-37	0.993261	0.997468	0.995633	0.992917	0.994099	
-27	1	1	0.997908	0.9994	0.999825	
-17	1	1	0.997947	1	1	
-7	1	1	0.995851	1	1	
3	1	1	0.997942	1	1	
13	1	1	0.997934	1	0.999826	
23	1	1	1	0.999701	0.999298	
33	0.998716	1	1	0.998786	0.997869	
43	0.996037	1	0.993617	0.995062	0.996564	
53	1	1	0.986957	0.989517	0.993333	
63	0.991597	0.997442	0.981735	0.973702	0.984291	
73	0.98688	0.989333	0.973872	0.966457	0.96845	
83	0.978462	0.974719	0.948052	0.955481	0.953261	
93	0.958678	0.96319	0.888252	0.938282	0.932802	
103	0.941385	0.939597	0.848024	0.914234	0.905781	
113	0.905697	0.917293	0.707792	0.894763	0.871455	
123	0.854701	0.842795	0.637931	0.863262	0.842367	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
1	0.585434	0.978528	0.961259	0.767544	0.945815	
2	0.40293	0.973154	0.896104	0.705803	0.903783	
3	0.266332	0.938865	0.852273	0.646594	0.82099	
4	0.152941	0.882653	0.76435	0.611794	0.747284	
5	0.113475	0.868966	0.694268	0.592814	0.65812	
6	0.0956522	0.869565	0.633898	0.572165	0.614177	
7	0.105769	0.860759	0.594488	0.583691	0.559821	
8	0.113636	0.818182	0.443478	0.568528	0.526198	
9	0.0958904	0.833333	0.381188	0.525886	0.488656	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0	1	1	1	1	1	
10	0.472103	0.888889	0.889197	0.901107	0.737351	
20	0.549784	0.831715	0.832869	0.887384	0.586252	
30	0.488172	0.733564	0.812317	0.888672	0.532331	
40	0.443694	0.732824	0.778443	0.887791	0.504023	
50	0.427332	0.746212	0.788344	0.882306	0.485371	
60	0.439909	0.70428	0.724242	0.885179	0.502907	
70	0.504717	0.755187	0.744745	0.863578	0.53007	
80	0.42228	0.825581	0.780186	0.853625	0.665577	
90	0.604819	0.923077	0.803815	0.964817	0.953671	
100	0.415617	0.798354	0.728863	0.823906	0.65191	
110	0.451697	0.792	0.75731	0.836667	0.540299	
120	0.434466	0.759542	0.760331	0.841663	0.491822	
130	0.453461	0.7393	0.739946	0.852429	0.48632	
140	0.419811	0.770609	0.735135	0.860924	0.48285	
150	0.433255	0.783088	0.712707	0.874724	0.528965	
160	0.494457	0.830325	0.751351	0.883285	0.58905	
170	0.495556	0.911854	0.696793	0.905983	0.736871	
180	0.665298	0.989796	0.791878	0.9906	0.980655	
190	0.466667	0.919505	0.768595	0.900077	0.735544	
200	0.465011	0.832237	0.742604	0.88988	0.597015	
210	0.441758	0.769759	0.75	0.894201	0.533987	
220	0.438202	0.735409	0.715909	0.891732	0.501272	
230	0.389791	0.793103	0.712121	0.889875	0.487477	
240	0.444988	0.72619	0.686335	0.885936	0.501081	
250	0.457584	0.735043	0.727536	0.85745	0.525677	
260	0.450249	0.822835	0.734328	0.853472	0.666776	
270	0.607981	0.941606	0.816216	0.96755	0.9603	
280	0.425134	0.793388	0.800623	0.829173	0.653185	
290	0.463291	0.74902	0.788856	0.837864	0.543178	
300	0.484412	0.748148	0.824176	0.838936	0.494073	
310	0.471292	0.783784	0.817416	0.851083	0.473825	
320	0.498807	0.765957	0.86236	0.862302	0.482473	
330	0.485126	0.76	0.833803	0.875664	0.524543	
340	0.546697	0.809689	0.879781	0.878141	0.582146	
350	0.543897	0.907407	0.882184	0.912534	0.732505	
360	1	1	1	1	1	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0.25	0.0769231	0.809524	0.0861244	0.609467	0.658371	
0.35	0.0621469	0.733333	0.232068	0.62234	0.619048	
0.45	0.113043	0.73913	0.401544	0.670185	0.623699	
0.55	0.166667	0.727941	0.592058	0.741131	0.662784	
0.65	0.188552	0.774566	0.702128	0.808793	0.699355	
0.75	0.263006	0.885965	0.70903	0.828074	0.754286	
0.85	0.489418	0.86166	0.851632	0.853011	0.775951	
0.95	0.535627	0.974684	0.849003	0.877362	0.892674	
1.05	0.454545	0.959064	0.874644	0.849222	0.899265	
1.15	0.457516	0.848485	0.794203	0.811172	0.780344	
1.25	0.403628	0.843658	0.826471	0.80762	0.752878	
1.35	0.282474	0.889535	0.713826	0.774849	0.731891	
1.45	0.26494	0.828804	0.714754	0.758788	0.721355	
1.55	0.222222	0.780899	0.644518	0.766442	0.688093	
1.65	0.231855	0.65	0.581633	0.762593	0.643261	
1.75	0.215217	0.643713	0.579505	0.7454	0.618028	
1.85	0.177384	0.760684	0.480969	0.749725	0.650742	
1.95	0.167373	0.794444	0.397849	0.769316	0.692081	

