"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
-127	0.142138	0.042654	0.03	0.226064	0.145851	
-117	0.174843	0.0592417	0.054	0.306147	0.201109	
-107	0.210063	0.104265	0.084	0.369681	0.265027	
-97	0.261635	0.170616	0.13	0.431442	0.338472	
-87	0.339623	0.281991	0.19	0.493794	0.430625	
-77	0.449057	0.43128	0.328	0.578014	0.539408	
-67	0.563522	0.556872	0.422	0.653073	0.648536	
-57	0.710692	0.706161	0.592	0.728132	0.753161	
-47	0.831447	0.843602	0.76	0.826537	0.845661	
-37	0.927044	0.933649	0.912	0.911348	0.93383	
-27	0.979874	0.983412	0.954	0.985225	0.988048	
-17	0.997484	0.99763	0.972	0.998818	0.998614	
-7	1	1	0.96	1	1	
3	0.998742	1	0.97	0.999114	0.999134	
13	0.993711	0.99763	0.966	0.997045	0.994977	
23	0.983648	0.995261	0.966	0.986998	0.986489	
33	0.978616	0.990521	0.95	0.972518	0.973151	
43	0.948428	0.976303	0.934	0.952719	0.954616	
53	0.922013	0.954976	0.908	0.920508	0.929153	
63	0.890566	0.924171	0.86	0.864362	0.890005	
73	0.851572	0.879147	0.82	0.817376	0.840118	
83	0.8	0.822275	0.73	0.754728	0.777239	
93	0.72956	0.744076	0.62	0.687352	0.709337	
103	0.666667	0.663507	0.558	0.601655	0.637797	
113	0.579874	0.578199	0.436	0.525118	0.569548	
123	0.503145	0.457346	0.37	0.464539	0.498008	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
1	0.262893	0.755924	0.794	0.465426	0.644033	
2	0.138365	0.687204	0.69	0.309102	0.52555	
3	0.0666667	0.509479	0.6	0.193558	0.405162	
4	0.0327044	0.409953	0.506	0.147163	0.32167	
5	0.0201258	0.298578	0.436	0.117021	0.240083	
6	0.0138365	0.236967	0.374	0.0984043	0.196605	
7	0.0138365	0.161137	0.302	0.0803782	0.151568	
8	0.0125786	0.127962	0.204	0.0661939	0.121774	
9	0.00880503	0.106635	0.154	0.0570331	0.0970033	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0	1	1	1	1	1	
10	0.28169	0.682464	0.642	0.734288	0.465458	
20	0.332896	0.614833	0.600402	0.726553	0.33581	
30	0.308424	0.512077	0.567623	0.741767	0.295212	
40	0.269494	0.491049	0.541667	0.738659	0.274885	
50	0.277075	0.538251	0.553879	0.739349	0.264189	
60	0.284457	0.512748	0.526432	0.743502	0.288935	
70	0.3424	0.526012	0.553571	0.731468	0.33326	
80	0.276271	0.626471	0.566292	0.72278	0.472499	
90	0.432014	0.736842	0.652655	0.88279	0.8369	
100	0.285962	0.538889	0.548246	0.706453	0.428941	
110	0.271586	0.506394	0.534021	0.713647	0.322064	
120	0.281447	0.510256	0.567901	0.736412	0.281087	
130	0.287879	0.481013	0.564417	0.743108	0.270932	
140	0.263314	0.53616	0.555102	0.739214	0.267488	
150	0.261669	0.522059	0.525458	0.734717	0.294854	
160	0.29773	0.555556	0.563895	0.737043	0.356436	
170	0.283715	0.7109	0.478	0.743385	0.483836	
180	0.407547	0.919431	0.624	0.903073	0.886887	
190	0.268886	0.703791	0.558	0.723086	0.465638	
200	0.269987	0.605263	0.504016	0.727186	0.341753	
210	0.273098	0.541063	0.510246	0.74405	0.295406	
220	0.266758	0.483376	0.525	0.744576	0.275085	
230	0.236287	0.565574	0.506465	0.74002	0.266231	
240	0.266862	0.518414	0.486784	0.741108	0.290188	
250	0.2848	0.49711	0.560268	0.723474	0.33304	
260	0.30678	0.614706	0.552809	0.730888	0.471339	
270	0.445783	0.754386	0.668142	0.87371	0.851165	
280	0.275563	0.533333	0.563596	0.714466	0.428706	
290	0.287284	0.488491	0.554639	0.713647	0.323176	
300	0.31761	0.517949	0.617284	0.734369	0.28087	
310	0.298485	0.513924	0.595092	0.737515	0.266209	
320	0.309172	0.538653	0.626531	0.735747	0.267279	
330	0.299859	0.512255	0.602851	0.733235	0.295459	
340	0.320427	0.565217	0.653144	0.729391	0.350152	
350	0.323155	0.696682	0.614	0.744979	0.486889	
360	1	1	1	1	1	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	"SIFT"	"SURF"	
0.25	0.0113208	0.0402844	0.036	0.0608747	0.0504071	
0.35	0.0138365	0.104265	0.11	0.103723	0.0855708	
0.45	0.0327044	0.161137	0.208	0.150118	0.134939	
0.55	0.0578616	0.234597	0.328	0.228428	0.197125	
0.65	0.0704403	0.317536	0.396	0.342494	0.263121	
0.75	0.114465	0.478673	0.424	0.449764	0.342976	
0.85	0.232704	0.516588	0.574	0.531619	0.416941	
0.95	0.274214	0.729858	0.596	0.617317	0.603672	
1.05	0.245283	0.777251	0.614	0.629137	0.657197	
1.15	0.264151	0.663507	0.548	0.609338	0.550147	
1.25	0.223899	0.677725	0.562	0.632683	0.532479	
1.35	0.172327	0.725118	0.444	0.608156	0.521566	
1.45	0.167296	0.722749	0.436	0.599586	0.52018	
1.55	0.125786	0.658768	0.388	0.606087	0.502512	
1.65	0.144654	0.523697	0.342	0.608452	0.472891	
1.75	0.124528	0.509479	0.328	0.586584	0.454876	
1.85	0.100629	0.632701	0.278	0.603723	0.486056	
1.95	0.0993711	0.677725	0.222	0.617908	0.52988	

